"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2022","20.7594","20.5414","20.8221","20.4312","206.72K","1.18%"
"07/06/2022","20.5175","20.3293","20.6635","20.1623","225.58K","1.17%"
"07/05/2022","20.2800","20.3568","20.5609","20.1618","200.46K","-0.26%"
"07/04/2022","20.3324","20.2770","20.4955","20.1500","168.30K","0.30%"
"07/01/2022","20.2706","20.3365","20.4134","20.0485","179.05K","-0.26%"
"06/30/2022","20.3241","20.1779","20.4825","19.9673","189.38K","0.75%"
"06/29/2022","20.1721","20.3153","20.5152","19.9694","231.91K","-0.69%"
"06/28/2022","20.3113","20.3090","20.5333","20.1547","215.55K","0.23%"
"06/27/2022","20.2637","20.7116","20.7560","19.6539","186.86K","-2.13%"
"06/24/2022","20.7056","21.2789","21.4636","20.2223","191.77K","-2.68%"
"06/23/2022","21.2751","21.2696","21.4118","21.0763","241.40K","0.04%"
"06/22/2022","21.2656","21.2872","21.4014","21.0546","224.80K","-0.09%"
"06/21/2022","21.2850","21.2381","21.4294","21.0793","182.13K","0.31%"
"06/20/2022","21.2193","21.1703","21.3689","21.0527","190.00K","0.20%"
"06/17/2022","21.1770","21.3782","21.4456","20.9733","223.50K","-0.88%"
"06/16/2022","21.3650","21.0000","21.4652","20.7841","234.02K","1.85%"
"06/15/2022","20.9761","20.7222","21.0814","20.5895","213.90K","1.25%"
"06/14/2022","20.7164","20.9513","21.1528","20.6105","207.18K","-0.97%"
"06/13/2022","20.9197","21.1206","21.3329","20.7460","193.82K","-0.49%"
"06/10/2022","21.0222","21.4874","21.6870","20.8878","181.12K","-2.09%"
"06/09/2022","21.4717","21.5082","21.7071","21.0123","164.63K","-0.02%"
"06/08/2022","21.4763","21.1019","21.6105","21.0214","203.85K","1.93%"
"06/07/2022","21.0702","20.7789","21.1319","20.5660","178.94K","1.51%"
"06/06/2022","20.7577","20.5390","20.9193","20.4147","160.93K","1.28%"
"06/03/2022","20.4961","20.7150","20.8552","20.4317","133.58K","-0.94%"
"06/02/2022","20.6902","20.4757","20.8403","20.3612","156.74K","1.14%"
"06/01/2022","20.4577","20.6749","20.8015","20.4142","171.75K","-0.85%"
"05/31/2022","20.6322","20.7334","20.8054","20.5096","185.95K","-0.42%"
"05/30/2022","20.7202","20.4638","20.8284","20.4107","147.31K","1.50%"
"05/27/2022","20.4136","20.6065","20.8213","20.4067","201.31K","-0.81%"
"05/26/2022","20.5807","20.5583","20.7957","20.3581","199.50K","0.26%"
"05/25/2022","20.5274","20.1712","20.6084","20.0868","202.45K","1.81%"
"05/24/2022","20.1625","20.0590","20.3577","19.9489","197.20K","0.54%"
"05/23/2022","20.0538","19.8672","20.1818","19.6651","199.30K","1.11%"
"05/20/2022","19.8335","19.7913","20.0431","19.7229","188.97K","0.51%"
"05/19/2022","19.7320","19.6787","19.8897","19.6511","219.46K","0.40%"
"05/18/2022","19.6526","19.8626","19.9694","19.6004","213.69K","-1.01%"
"05/17/2022","19.8530","19.1552","19.8953","19.1154","203.20K","3.73%"
"05/16/2022","19.1399","18.9412","19.2087","18.8372","173.74K","0.86%"
"05/13/2022","18.9762","18.7663","19.0408","18.6245","222.49K","1.26%"
"05/12/2022","18.7408","18.7756","18.9091","18.5729","228.30K","0.01%"
"05/11/2022","18.7388","18.8043","19.0785","18.6103","215.01K","-0.27%"
"05/10/2022","18.7894","18.6120","18.9133","18.5469","213.94K","1.02%"
"05/09/2022","18.6003","18.4461","18.6999","18.2672","181.37K","0.87%"
"05/06/2022","18.4399","18.3780","18.5202","18.1879","188.47K","0.44%"
"05/05/2022","18.3600","18.6025","18.7206","18.3091","200.42K","-1.23%"
"05/04/2022","18.5885","18.5191","18.6430","18.4045","168.07K","0.52%"
"05/03/2022","18.4925","18.5933","18.6874","18.4785","166.74K","-0.41%"
"05/02/2022","18.5680","18.6660","18.7414","18.5697","128.52K","-0.48%"
"04/29/2022","18.6574","18.4258","18.7439","18.3462","196.76K","1.28%"
"04/28/2022","18.4209","18.5905","18.6672","18.3388","184.33K","-0.78%"
"04/27/2022","18.5655","18.6106","18.7365","18.4995","163.80K","-0.22%"
"04/26/2022","18.6057","18.8273","18.9424","18.5938","187.17K","-1.12%"
"04/25/2022","18.8172","18.9613","18.9995","18.6978","187.77K","-0.51%"
"04/22/2022","18.9139","19.1651","19.2437","18.9009","173.28K","-1.23%"
"04/21/2022","19.1497","19.1777","19.2965","19.0457","210.14K","-0.10%"
"04/20/2022","19.1690","19.0489","19.2251","18.9676","186.94K","0.75%"
"04/19/2022","19.0272","19.0516","19.1787","18.9414","166.74K","-0.05%"
"04/18/2022","19.0368","19.1146","19.1967","18.9368","145.70K","-0.34%"
"04/15/2022","19.1012","19.0938","19.2118","18.9711","224.99K","0.17%"
"04/14/2022","19.0695","19.1439","19.2871","19.0390","192.46K","-0.35%"
"04/13/2022","19.1358","18.9816","19.2278","18.8005","174.42K","0.86%"
"04/12/2022","18.9729","19.1078","19.2029","18.9445","169.57K","-0.65%"
"04/11/2022","19.0978","19.2379","19.2791","19.0361","138.76K","-0.60%"
"04/08/2022","19.2130","19.2726","19.3703","19.1153","147.56K","-0.24%"
"04/07/2022","19.2601","19.2254","19.3908","19.1619","145.05K","0.24%"
"04/06/2022","19.2137","19.2584","19.3566","19.1355","167.42K","-0.09%"
"04/05/2022","19.2311","19.2623","19.4263","19.1891","157.91K","-0.09%"
"04/04/2022","19.2475","19.2599","19.4025","19.1792","146.17K","-0.02%"
"04/01/2022","19.2517","19.2778","19.3967","19.1161","214.07K","-0.08%"
"03/31/2022","19.2676","19.2460","19.3757","19.1388","180.36K","0.19%"
"03/30/2022","19.2301","19.0940","19.3796","19.0496","162.35K","0.77%"
"03/29/2022","19.0823","19.3904","19.5984","19.0411","167.19K","-1.55%"
"03/28/2022","19.3834","19.5676","19.6246","19.3594","147.93K","-0.83%"
"03/25/2022","19.5451","19.5602","19.7012","19.4468","152.34K","0.10%"
"03/24/2022","19.5247","19.5926","19.7006","19.4517","148.51K","-0.27%"
"03/23/2022","19.5766","19.6618","19.7834","19.5179","162.27K","-0.34%"
"03/22/2022","19.6428","19.5229","19.7010","19.3491","158.35K","0.71%"
"03/21/2022","19.5049","19.5213","19.6454","19.3886","144.54K","0.10%"
"03/18/2022","19.4853","19.3314","19.6084","19.1604","156.32K","0.83%"
"03/17/2022","19.3244","19.2456","19.5570","19.0782","172.46K","0.64%"
"03/16/2022","19.2018","19.1746","19.3864","19.0231","206.59K","0.19%"
"03/15/2022","19.1661","19.2174","19.4642","18.9305","222.61K","-0.22%"
"03/14/2022","19.2080","19.2500","19.4923","19.1509","171.25K","-0.13%"
"03/11/2022","19.2334","19.4238","19.6901","19.1623","215.83K","-0.76%"
"03/10/2022","19.3800","19.3108","19.6624","19.1810","189.81K","0.46%"
"03/09/2022","19.2912","18.9918","19.3534","18.9366","201.66K","1.70%"
"03/08/2022","18.9682","18.8403","19.1607","18.7687","227.51K","0.76%"
"03/07/2022","18.8242","18.7182","19.0508","18.6304","206.58K","0.35%"
"03/04/2022","18.7590","18.8428","19.2364","18.6113","208.68K","-0.28%"
"03/03/2022","18.8112","18.7945","19.0453","18.6319","206.99K","0.19%"
"03/02/2022","18.7755","18.5443","18.9475","18.4064","180.41K","1.25%"
"03/01/2022","18.5429","18.5606","18.8120","18.3496","191.64K","-0.19%"
"02/28/2022","18.5777","18.5336","18.9300","18.2899","198.76K","0.28%"
"02/25/2022","18.5252","18.7756","19.0082","18.3841","183.61K","-1.09%"
"02/24/2022","18.7295","18.7226","19.7585","18.5809","244.08K","0.16%"
"02/23/2022","18.6989","18.7346","18.8831","18.5613","207.54K","-0.11%"
"02/22/2022","18.7198","18.6341","18.9223","18.5000","220.40K","0.63%"
"02/21/2022","18.6033","18.5842","18.6830","18.4511","156.23K","0.34%"
"02/18/2022","18.5403","18.4823","18.6342","18.3739","188.69K","0.33%"
"02/17/2022","18.4791","18.4757","18.6250","18.3833","189.35K","0.05%"
"02/16/2022","18.4692","18.4186","18.5807","18.3341","178.21K","0.39%"
"02/15/2022","18.3966","18.3925","18.6087","18.2924","162.24K","0.12%"
"02/14/2022","18.3748","18.3359","18.5240","18.1325","169.52K","0.24%"
"02/11/2022","18.3300","18.2952","18.4434","18.1448","192.62K","0.40%"
"02/10/2022","18.2563","18.3258","18.5537","18.2076","184.79K","-0.25%"
"02/09/2022","18.3014","18.3682","18.5798","18.2302","161.41K","-0.30%"
"02/08/2022","18.3569","18.4071","18.5984","18.2318","190.60K","-0.06%"
"02/07/2022","18.3681","18.3591","18.5306","18.1721","170.88K","0.13%"
"02/04/2022","18.3448","18.4410","18.5055","18.2605","217.52K","-0.46%"
"02/03/2022","18.4292","18.2763","18.6474","18.1362","206.52K","0.89%"
"02/02/2022","18.2658","18.0771","18.5405","17.9023","180.76K","1.05%"
"02/01/2022","18.0757","17.9125","18.3725","17.7462","180.56K","1.03%"
"01/31/2022","17.8918","18.1607","18.3757","17.7544","167.50K","-1.50%"
"01/28/2022","18.1634","18.2650","18.4496","18.0105","192.20K","-0.56%"
"01/27/2022","18.2665","18.2819","18.5280","18.0306","191.07K","0.10%"
"01/26/2022","18.2479","18.1978","18.5093","18.0356","183.39K","0.30%"
"01/25/2022","18.1938","18.1591","18.4205","17.8890","194.88K","0.34%"
"01/24/2022","18.1313","18.2311","18.4865","17.9242","187.42K","-0.41%"
"01/21/2022","18.2053","18.1629","18.4878","17.9287","171.74K","0.29%"
"01/20/2022","18.1534","18.2488","18.4538","18.0840","171.07K","-0.24%"
"01/19/2022","18.1975","18.4032","18.7577","18.1427","186.66K","-1.06%"
"01/18/2022","18.3931","18.3465","18.7054","18.1242","194.09K","0.42%"
"01/17/2022","18.3158","18.4974","18.8805","18.0579","188.92K","-0.93%"
"01/14/2022","18.4878","18.6280","18.7623","18.3853","192.47K","-0.52%"
"01/13/2022","18.5843","18.1086","18.9420","18.0317","170.58K","2.91%"
"01/12/2022","18.0594","18.8121","19.0175","18.0142","140.68K","-3.98%"
"01/11/2022","18.8088","18.7513","19.0018","18.3981","146.88K","0.35%"
"01/10/2022","18.7435","18.8540","19.0586","18.3724","131.60K","-0.53%"
"01/07/2022","18.8438","18.7558","19.0023","18.3697","167.26K","0.78%"
"01/06/2022","18.6972","18.5343","18.8711","18.0114","194.61K","1.22%"
"01/05/2022","18.4718","18.1469","18.6604","17.8190","163.53K","2.41%"
"01/04/2022","18.0366","17.7120","18.5322","17.3489","160.54K","2.23%"
"01/03/2022","17.6430","18.0248","18.9710","17.1012","163.57K","-2.07%"
"12/31/2021","18.0154","17.7492","18.5035","17.4179","142.85K","1.50%"
"12/30/2021","17.7492","17.0480","18.2336","16.6764","142.15K","4.15%"
"12/29/2021","17.0420","15.8611","17.2103","15.8099","131.62K","7.53%"
"12/28/2021","15.8492","15.6996","16.1601","15.4507","124.85K","0.96%"
"12/27/2021","15.6981","14.2571","15.9250","14.1597","98.09K","10.14%"
"12/24/2021","14.2523","15.2872","16.5114","13.8820","146.52K","-6.80%"
"12/23/2021","15.2923","16.0583","16.5099","13.6259","160.03K","-4.39%"
"12/22/2021","15.9942","16.4969","17.0199","15.8784","133.28K","-3.02%"
"12/21/2021","16.4925","17.8387","18.7916","15.3987","132.26K","-7.53%"
"12/20/2021","17.8361","21.7488","24.2691","17.8360","125.80K","-17.91%"
"12/17/2021","21.7282","20.8776","22.8097","20.8141","176.22K","4.13%"
"12/16/2021","20.8674","19.6134","21.0415","19.5911","169.63K","6.40%"
"12/15/2021","19.6127","19.0539","19.6923","19.0016","207.89K","2.99%"
"12/14/2021","19.0437","18.2593","19.1442","18.2149","179.38K","4.45%"
"12/13/2021","18.2319","18.4116","19.4076","17.9752","187.78K","-0.98%"
"12/10/2021","18.4121","18.2255","18.4804","18.1038","191.39K","1.07%"
"12/09/2021","18.2180","18.0680","18.2949","17.9723","205.11K","0.88%"
"12/08/2021","18.0593","17.8717","18.2873","17.8331","247.07K","1.08%"
"12/07/2021","17.8669","18.3060","18.4052","17.7635","263.85K","-2.29%"
"12/06/2021","18.2865","18.1486","18.4564","18.0246","214.86K","0.88%"
"12/03/2021","18.1265","18.2134","18.5756","17.6957","192.89K","0.06%"
"12/02/2021","18.1155","17.6167","18.4331","17.5533","212.61K","2.86%"
"12/01/2021","17.6113","17.9247","18.4772","16.5132","210.48K","-1.68%"
"11/30/2021","17.9126","17.0676","18.2960","16.9184","237.82K","5.10%"
"11/29/2021","17.0427","16.5777","17.1999","16.4326","173.18K","2.87%"
"11/26/2021","16.5666","15.9736","16.9450","15.8304","223.45K","4.60%"
"11/25/2021","15.8375","16.1103","16.3719","15.7323","198.80K","-1.65%"
"11/24/2021","16.1027","17.1526","17.6568","15.4130","177.99K","-6.08%"
"11/23/2021","17.1444","15.2493","18.0588","15.1802","209.86K","12.47%"
"11/22/2021","15.2433","15.1186","15.4132","14.7008","227.13K","0.90%"
"11/19/2021","15.1079","14.8329","15.2678","14.5941","172.06K","1.85%"
"11/18/2021","14.8335","14.3304","15.2531","14.0785","217.05K","3.71%"
"11/17/2021","14.3027","13.8917","14.3982","13.8326","213.80K","3.02%"
"11/16/2021","13.8828","13.5056","13.9966","13.4733","218.92K","2.94%"
"11/15/2021","13.4858","13.3941","13.5597","13.3504","185.77K","0.79%"
"11/12/2021","13.3796","13.2462","13.4632","13.1898","185.16K","1.18%"
"11/11/2021","13.2238","13.1947","13.3635","13.1761","201.22K","0.30%"
"11/10/2021","13.1838","13.1961","13.3464","13.1556","203.11K","0.02%"
"11/09/2021","13.1815","13.1342","13.2341","13.0914","190.02K","0.44%"
"11/08/2021","13.1239","13.0836","13.2104","13.0033","178.49K","0.53%"
"11/05/2021","13.0542","13.1007","13.1655","12.9943","171.72K","-0.16%"
"11/04/2021","13.0751","13.1999","13.3155","13.0569","235.83K","-0.77%"
"11/03/2021","13.1763","13.0760","13.3232","13.0515","215.03K","0.88%"
"11/02/2021","13.0618","13.0439","13.1046","12.9031","209.83K","0.29%"
"11/01/2021","13.0243","13.1451","13.1636","12.9684","177.92K","-0.94%"
"10/29/2021","13.1475","13.1602","13.2653","13.1027","207.57K","0.10%"
"10/28/2021","13.1338","13.0561","13.2579","13.0056","201.85K","0.79%"
"10/27/2021","13.0306","13.1400","13.1642","12.9950","187.42K","-0.71%"
"10/26/2021","13.1238","13.2017","13.2541","12.9549","169.55K","-0.51%"
"10/25/2021","13.1913","13.2168","13.5632","13.1152","159.35K","0.18%"
"10/22/2021","13.1675","13.1291","13.3305","13.0702","177.37K","0.45%"
"10/21/2021","13.1083","12.7450","13.1763","12.7109","161.47K","2.96%"
"10/20/2021","12.7316","12.8297","12.9044","12.6627","155.57K","-0.65%"
"10/19/2021","12.8153","12.8141","12.9108","12.7369","153.96K","0.13%"
"10/18/2021","12.7983","12.7454","12.8591","12.6904","141.24K","0.61%"
"10/15/2021","12.7211","12.5619","12.7621","12.5363","165.76K","1.40%"
"10/14/2021","12.5450","12.4143","12.6097","12.3691","155.69K","1.14%"
"10/13/2021","12.4032","12.2873","12.4370","12.2639","177.89K","1.06%"
"10/12/2021","12.2727","12.2387","12.3157","12.2109","148.34K","0.43%"
"10/11/2021","12.2205","12.2200","12.2775","12.1617","140.39K","0.19%"
"10/08/2021","12.1974","12.0898","12.2397","12.0494","161.88K","0.99%"
"10/07/2021","12.0779","12.0570","12.1244","12.0116","171.10K","0.27%"
"10/06/2021","12.0448","12.0968","12.1564","12.0182","188.92K","-0.35%"
"10/05/2021","12.0873","12.0554","12.1311","12.0211","183.13K","0.33%"
"10/04/2021","12.0477","12.0044","12.0878","11.9744","150.99K","0.44%"
"10/01/2021","11.9950","11.9782","12.0400","11.9028","162.87K","0.20%"
"09/30/2021","11.9715","11.9817","12.0295","11.8986","182.95K","0.09%"
"09/29/2021","11.9605","12.0147","12.0486","11.8900","172.56K","-0.32%"
"09/28/2021","11.9988","12.0836","12.1476","11.9782","175.08K","-0.61%"
"09/27/2021","12.0725","12.1532","12.1793","12.0674","145.29K","-0.55%"
"09/24/2021","12.1397","12.0301","12.1709","12.0008","159.84K","1.01%"
"09/23/2021","12.0182","11.7971","12.0759","11.7661","175.74K","2.05%"
"09/22/2021","11.7762","11.7860","11.8343","11.7305","176.40K","0.02%"
"09/21/2021","11.7741","11.8452","11.8804","11.7416","166.16K","-0.49%"
"09/20/2021","11.8321","11.8801","11.9682","11.8056","159.32K","-0.21%"
"09/17/2021","11.8570","11.7664","11.9098","11.7246","157.33K","0.88%"
"09/16/2021","11.7530","11.6726","11.7952","11.6369","175.91K","0.82%"
"09/15/2021","11.6574","11.6578","11.7155","11.6187","162.46K","0.17%"
"09/14/2021","11.6377","11.6622","11.7528","11.6293","166.05K","-0.10%"
"09/13/2021","11.6492","11.7225","11.7386","11.6396","144.78K","-0.45%"
"09/10/2021","11.7013","11.6745","11.7402","11.6320","171.06K","0.32%"
"09/09/2021","11.6636","11.6692","11.7618","11.6233","170.92K","0.14%"
"09/08/2021","11.6473","11.5134","11.6896","11.4769","180.46K","1.25%"
"09/07/2021","11.5040","11.4591","11.5217","11.4182","173.17K","0.47%"
"09/06/2021","11.4505","11.5419","11.5525","11.4295","131.16K","-0.56%"
"09/03/2021","11.5147","11.4511","11.5651","11.4274","157.63K","0.65%"
"09/02/2021","11.4406","11.4285","11.4752","11.3785","146.70K","0.22%"
"09/01/2021","11.4150","11.4401","11.4691","11.3712","158.22K","-0.06%"
"08/31/2021","11.4220","11.5316","11.5768","11.4024","148.80K","-0.87%"
"08/30/2021","11.5222","11.4930","11.5569","11.4576","107.59K","0.39%"
"08/27/2021","11.4780","11.4960","11.5620","11.4383","165.54K","-0.09%"
"08/26/2021","11.4887","11.5301","11.5536","11.4519","153.59K","-0.22%"
"08/25/2021","11.5146","11.5464","11.5738","11.4585","141.97K","-0.09%"
